loan_sequence_number,current_delinquency_status,current_int_rate,actual_loss,credit_score,first_time_homebuyer_flag,original_upb,original_cltv,original_dti_ratio,original_int_rate,property_state,predicted_loss
F09Q40415382,0,5.0,0.0,813,N,104000,88,999,5.0,KY,-3508.6970287302984
F09Q40191750,0,5.5,0.0,697,N,180000,103,999,5.5,MO,-9507.12920659244
F09Q40091577,0,4.5,0.0,810,N,204000,38,14,4.5,CA,-7419.164106761843
F09Q20485754,0,4.75,0.0,769,N,417000,76,43,4.75,NC,-5456.721388337087
F09Q40060260,0,4.875,0.0,809,N,410000,84,999,4.875,WA,-7321.608382720258
F09Q20718117,0,4.75,0.0,758,N,358000,90,999,4.75,IL,-2940.0099618262675
F09Q30201177,0,4.0,0.0,619,N,254000,101,999,4.625,IL,-5329.417500980835
F09Q30351658,0,5.625,0.0,797,N,140000,60,28,5.625,WI,-1981.3118856610583
F09Q20238723,0,4.625,0.0,767,N,88000,43,25,4.625,NC,-5172.227368452315
F09Q20572802,0,4.875,0.0,780,N,172000,72,999,4.875,KY,-1612.403344389313
F09Q40376703,0,4.875,0.0,735,N,150000,89,37,4.875,MS,-8565.598923801985
F09Q30315107,0,5.0,0.0,755,N,187000,95,34,5.0,IA,-7363.309998815541
F09Q40102260,0,4.5,0.0,769,N,252000,63,20,4.5,NE,-5611.970351263723
F09Q40305893,0,4.875,0.0,748,Y,180000,80,44,4.875,CA,-6141.600721136013
F09Q40450852,0,4.625,0.0,665,N,100000,69,52,4.625,PA,-8922.11544305606
F09Q20499189,0,5.25,0.0,704,N,154000,75,29,5.25,MA,-6781.834784853995
F09Q40179952,0,4.875,0.0,758,N,110000,53,48,4.875,TX,-8334.552447781753
F09Q40032887,0,5.375,0.0,770,N,67000,56,36,5.375,MO,-5328.067332553496
F09Q30251292,0,4.75,0.0,702,N,133000,134,999,4.75,MI,-4468.505090730309
F09Q20205852,0,4.75,0.0,797,N,127000,73,14,4.75,WV,-7279.513396688889
F09Q20184693,0,4.875,0.0,762,Y,40000,35,32,4.875,NE,-7690.03046205547
F09Q30156025,0,5.25,0.0,783,N,150000,54,20,5.25,TX,-8507.998867169033
F09Q40193923,0,5.375,0.0,806,N,280000,80,49,5.375,NJ,-8038.472713893274
F09Q40418678,0,5.25,0.0,706,N,205000,80,45,5.25,TX,-6015.805771528333
F09Q20402038,0,4.75,0.0,764,N,150000,79,18,4.75,NM,-2706.186004695961
F09Q40143392,0,4.25,0.0,813,N,416000,80,27,4.25,FL,-9883.14105755442
F09Q20506905,0,5.125,0.0,756,N,564000,76,29,5.125,CA,-6126.760020659385
F09Q40365286,0,4.75,0.0,764,N,133000,74,999,4.75,CA,-5969.267388955212
F09Q20269536,0,4.875,0.0,709,N,115000,70,999,4.875,OH,-4528.540211083523
F09Q30015786,0,4.375,0.0,791,N,205000,43,18,4.375,CT,-4957.554789716419
F09Q30214926,0,5.75,0.0,700,N,96000,60,37,5.75,FL,-4392.778882822759
F09Q20194074,0,5.0,0.0,809,N,170000,95,39,5.0,NY,-4079.1882675522106
F09Q40381961,0,4.75,0.0,793,N,24000,80,30,4.75,IN,-9293.108028075156
F09Q30051821,0,4.625,0.0,795,N,250000,100,999,4.625,CA,-3119.51965838996
F09Q20485678,0,4.75,0.0,705,Y,269000,80,44,4.75,FL,-5272.987902216431
F09Q20415648,0,4.875,0.0,793,N,100000,80,25,4.875,AZ,-2338.0369988263315
F09Q30182038,0,5.375,0.0,789,N,178000,80,43,5.375,UT,-5299.866304295938
F09Q20460532,0,5.0,0.0,694,N,264000,80,35,5.0,AL,-3573.6747497873725
F09Q40373844,0,4.25,0.0,808,N,132000,71,20,4.25,IA,-7213.545082926616
F09Q40041209,0,4.875,0.0,815,N,60000,39,20,4.875,IA,-5061.097719639455
F09Q40443562,0,5.25,0.0,694,Y,243000,80,54,5.25,NJ,-4244.017509880776
F09Q20176788,0,4.875,0.0,778,N,231000,75,48,4.875,PA,-1431.8432702355208
F09Q30105026,0,5.375,0.0,745,Y,320000,92,29,5.375,TX,-5458.315442981359
F09Q40220944,0,4.25,0.0,786,N,384000,33,28,4.25,MA,-1277.4002257365953
F09Q40412348,0,4.75,0.0,784,N,174000,90,30,4.75,TX,-7748.98885189319
F09Q20687925,0,4.25,0.0,820,N,166000,75,41,4.25,NC,-8138.107042878482
F09Q40439324,0,4.75,0.0,781,N,500000,52,40,4.75,NJ,-5132.942315042807
F09Q30229338,0,4.25,0.0,786,N,82000,75,41,4.25,NM,-7571.9546953862
F09Q20076141,0,5.0,0.0,633,N,75000,46,21,5.0,WA,-7038.1337219418765
F09Q40314078,0,5.0,0.0,803,N,93000,65,22,5.0,WI,-4639.590556514761
F09Q20622660,0,4.875,0.0,693,N,110000,62,34,4.875,ME,-1543.0298285448284
F09Q10614191,0,4.875,0.0,790,N,156000,80,21,4.875,TN,-2142.41830239769
F09Q20283965,0,4.75,0.0,779,N,84000,80,15,4.75,AZ,-3772.412738251391
F09Q20241008,0,4.875,0.0,717,N,280000,73,45,4.875,PA,-6044.8751710809
F09Q30137754,7,4.875,-84356.11,654,N,392000,92,999,4.875,WI,-77542.88713291034
F09Q30100667,0,5.268,0.0,747,N,123000,80,32,5.268,WI,-5832.614095085142
F09Q20422306,0,5.75,0.0,791,N,106000,75,54,5.75,CA,-3228.9461677445124
F09Q20614079,0,4.5,0.0,798,N,237000,68,27,4.5,TX,-8887.162647502246
F09Q30310581,0,4.5,0.0,717,N,346000,75,39,4.5,CA,-5146.438320348867
F09Q40027051,0,5.25,0.0,780,N,171000,80,34,5.25,FL,-4482.09270287934
F09Q20214910,0,4.875,0.0,768,N,368000,80,39,4.875,PA,-9400.991293567333
F09Q30101257,0,5.125,0.0,724,N,289000,87,999,5.125,LA,-9936.392436007774
F09Q20325987,0,5.0,0.0,813,N,174000,69,29,5.0,GA,-5706.138571117396
F09Q20251231,0,4.875,0.0,731,N,106000,75,999,4.875,PA,-5576.983436105693
F09Q40077733,0,5.0,0.0,678,N,312000,105,999,5.0,NJ,-8390.286489422906
F09Q20442651,0,4.75,0.0,791,N,315000,79,999,4.75,CO,-1000.4108234608732
F09Q40395285,0,4.99,0.0,726,N,98000,80,43,4.99,TN,-3620.103051266825
F09Q10180466,0,5.125,0.0,796,N,32000,47,16,5.125,IN,-3183.7652898834613
F09Q30333198,0,6.0,0.0,718,N,104000,87,26,6.0,IL,-2268.8654837041868
F09Q20401141,0,4.75,0.0,766,N,280000,76,53,4.75,WI,-6462.748102177506
F09Q40218196,0,5.0,0.0,679,N,162000,57,39,5.0,MD,-9371.598776256244
F09Q20480020,0,4.875,0.0,791,N,417000,78,39,4.875,MA,-8424.300378861915
F09Q40197827,0,5.0,0.0,724,N,200000,58,42,5.0,NY,-7123.917050927772
F09Q40383107,0,5.25,0.0,753,N,224000,80,38,5.25,NY,-1454.285903757955
F09Q20179705,0,4.75,0.0,617,N,183000,108,999,4.75,WI,-8093.162448639299
F09Q40126475,0,5.25,0.0,739,N,199000,79,38,5.25,WA,-7859.521008295847
F09Q30053067,0,5.75,0.0,741,N,78000,80,20,5.75,IL,-5280.160804165902
F09Q20633184,0,4.875,0.0,636,N,97000,105,999,4.875,IN,-1088.3732349988113
